ITEM_ID,CARTONIZATION_FLAG,CHW_PRIMARY_SUPPLIER_NUMBER,SKU_NAME,PURCHASE_MOQ,CHW_UNITS_PER_CARTON,CHW_MASTER_CASE_PACK,CHW_MASTER_CARTON_CBM,DEST,FCST,CBM_MAX,CBM_PERC
89562,true,B3722,"Frisco Large Premium Dog Training & Potty Pads, 22 x 23-in, Unscented, 150 count",1500.0,1.0,1.0,0.03555,TNY,53983.263878301324,66.0,29.077348952630484
155652,false,P000420,"Frisco Top Entry Cat Litter Box, Extra Large, Gray, 23-in",84.0,0.0,1.0,1.8877897728,MDT1,959.4729572205827,66.0,27.443685392714965
141375,false,P000420,"Frisco High Back Cat Litter Box, Extra Large, Gray, 23-in",300.0,0.0,1.0,1.8877897728,MDT1,947.7052448200159,66.0,27.107094981820396
108423,true,B213591,"American Journey Grain-Free Salmon & Sweet Potato Recipe Dry Dog Food, 24-lb bag",60.0,0.0,1.0,0.0258096258,TLA,68223.16248390033,66.0,26.67900446366767
89555,true,B3722,"Frisco X-Large Premium Dog Training & Potty Pads, 28 x 34-in, Unscented, 40 count",1500.0,1.0,1.0,0.026881875,TNY,61680.583311785675,66.0,25.12257167446225
173771,false,B3722,"Frisco X-Large Premium Dog Training & Potty Pads, 28 x 34-in, Unscented, 150 count",1500.0,1.0,1.0,0.0853875,TLA,19376.29762721536,66.0,25.068085055209874
1759534,true,P19098,"Chewy Wholesome Grains Salmon, Brown Rice & Vegetables Recipe Dry Dog Food, 28-lb bag",35.0,0.0,1.0,0.0322635479554697,TLA,50216.15388313084,66.0,24.54774680223694
89562,true,B3722,"Frisco Large Premium Dog Training & Potty Pads, 22 x 23-in, Unscented, 150 count",1500.0,1.0,1.0,0.03555,TLA,43901.964485876015,66.0,23.647194507165032
109347,true,P19098,"American Journey Protein & Grains Salmon, Brown Rice & Vegetables Recipe Dry Dog Food, 28-lb bag",35.0,0.0,1.0,0.03226203225,TLA,47077.396441968966,66.0,23.01231033722482
150194,true,P19098,"True Acre Foods Grain-Free Beef & Vegetable Dry Dog Food, 40-lb bag",24.0,0.0,1.0,0.052651636632,TLA,28040.040745230777,66.0,22.369000552490384
1759534,true,P19098,"Chewy Wholesome Grains Salmon, Brown Rice & Vegetables Recipe Dry Dog Food, 28-lb bag",35.0,0.0,1.0,0.0322635479554697,TNY,45097.57757218986,66.0,22.045573585997914
89555,true,B3722,"Frisco X-Large Premium Dog Training & Potty Pads, 28 x 34-in, Unscented, 40 count",1500.0,1.0,1.0,0.026881875,TLA,52099.00557023907,66.0,21.219984172173792
141378,true,P000420,"Frisco Open Top Cat Litter Box With Rim, Large, Gray, 19-in",342.0,0.0,1.0,1.8877897728,MDT1,710.8717077342988,66.0,20.332974842934544
152568,true,B3722,"Frisco X-Large Premium Dog Training & Potty Pads, 28 x 34-in, Unscented, 75 count",1500.0,1.0,1.0,0.042849,TNY,31103.040225743818,66.0,20.192941979286317
150190,true,P19098,"True Acre Foods Grain-Free Chicken & Vegetable Dry Dog Food, 40-lb bag",24.0,0.0,1.0,0.052651636632,TLA,25189.512439413204,66.0,20.094985695412543
108423,true,B213591,"American Journey Grain-Free Salmon & Sweet Potato Recipe Dry Dog Food, 24-lb bag",60.0,0.0,1.0,0.0258096258,TNY,50927.40309229887,66.0,19.91541237542419
109347,true,P19098,"American Journey Protein & Grains Salmon, Brown Rice & Vegetables Recipe Dry Dog Food, 28-lb bag",35.0,0.0,1.0,0.03226203225,TNY,40095.34292963835,66.0,19.599352222284878
173770,true,B3722,"Frisco Large Premium Dog Training & Potty Pads, 22 x 23-in, Unscented, 300 count",250.0,1.0,1.0,0.0716925,TNY,17109.663763508375,66.0,18.585372263110973
1759510,true,P19098,"Chewy Wholesome Grains Chicken, Brown Rice & Vegetables Recipe Dry Dog Food, 28-lb bag",35.0,0.0,1.0,0.0322634434217718,TLA,37912.29338368658,66.0,18.533047463245232
526526,false,P000420,"Frisco Mega Deluxe Litter Box, Olive Green, 26-in",80.0,0.0,1.0,1.8877897728,TLA,632.4448913131196,66.0,18.08974238909871
109339,true,P19098,"American Journey Protein & Grains Chicken, Brown Rice & Vegetables Recipe Dry Dog Food, 28-lb bag",35.0,0.0,1.0,0.03226203225,TLA,36041.80693391773,66.0,17.617908146217083
250603,false,P18120,"Frisco Steel 8-Panel Configurable Dog Gate and Playpen, 30-in, Black",100.0,0.0,1.0,0.1205270638736383,TLA,9540.43026982524,66.0,17.422424977473014
173771,false,B3722,"Frisco X-Large Premium Dog Training & Potty Pads, 28 x 34-in, Unscented, 150 count",1500.0,1.0,1.0,0.0853875,MDT1,13025.418637916588,66.0,16.851635362804586
1759510,true,P19098,"Chewy Wholesome Grains Chicken, Brown Rice & Vegetables Recipe Dry Dog Food, 28-lb bag",35.0,0.0,1.0,0.0322634434217718,TNY,33889.18977796777,66.0,16.56639328804773
128075,false,B3755,"Frisco 33-in Heavy Duty Sisal Cat Scratching Post, Cream",100.0,1.0,1.0,0.0409605,TLA,25730.105104934984,66.0,15.968454093192264
152568,true,B3722,"Frisco X-Large Premium Dog Training & Potty Pads, 28 x 34-in, Unscented, 75 count",1500.0,1.0,1.0,0.042849,TLA,24492.059370310064,66.0,15.900912908460848
1817942,true,P19098,"Chewy High Protein Grain-Free Chicken & Sweet Potato Recipe Dry Dog Food, 24-lb bag",40.0,0.0,1.0,0.031229647218,TLA,33510.72892835666,66.0,15.856488521978873
163749,false,B3755,"Frisco 33-in Heavy Duty Sisal Cat Scratching Post, Gray",100.0,1.0,1.0,0.0409605,TLA,23677.79660291104,66.0,14.694763450811175
