MC2_NAME,MC3_NAME,CHW_PRIMARY_SUPPLIER_NAME,PRODUCT,CHW_PRIMARY_SUPPLIER_NUMBER,SKU_NAME,PURCHASE_MOQ,CHW_SKU_NUMBER,CHW_UNITS_PER_CARTON,CHW_MASTER_CASE_PACK,CHW_MASTER_CARTON_CBM
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,PCA3755,"Frisco Basic Dog & Cat T-Shirt, Red, X-Small",,1000082861,0,0,
Apparel,Apparel,"P18936-PETPARTY PRODUCTS CO., LTD",Frisco Püppy Dog & Cat Athletic Hoodie,P18936,"Frisco Püppy Dog & Cat Athletic Hoodie, Red, XXX-Large",1500,224941,0,36,0.055125
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Teal, XX-Large",1500,153687,0,50,0.03375
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Red, XX-Large",1500,144601,0,50,0.03375
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Pink, X-Large",1500,139404,0,50,0.0288
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Red, XXX-Large",1500,224913,0,50,0.03375
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Gingham Personalized Dog & Cat Bandana,P19132,"Frisco Gingham Personalized Dog & Cat Bandana, Navy, Large",1,258771,0,1,0
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Gingham Personalized Dog & Cat Bandana,P19132,"Frisco Gingham Personalized Dog & Cat Bandana, Blue, Large",1,258768,0,1,0
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Nautical Personalized Dog & Cat Bandana,P19132,"Frisco Nautical Personalized Dog & Cat Bandana, Large",1,258764,0,1,0
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Dog & Cat Basic Hoodie,PCA3755,"Frisco Dog & Cat Basic Hoodie, Black, XX-Large",,1000082999,0,0,
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,PCA3755,"Frisco Basic Dog & Cat T-Shirt, Navy, X-Small",,1000082891,0,0,
Specialty Hard Goods,Toys & Decor,B000064-PM&J LLC - DIRECT IMPORT,Frisco Geometric Small Pet Bunk Bed,B000064,"Frisco Geometric Small Pet Bunk Bed, Green",504,278097,0,36,0.0972
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat Hoodie,3755,"Frisco Basic Dog & Cat Hoodie, Black, X-Small",1500,119241,0,50,0.01512
Personalized,Personalized People Products,P18532-FUJIFILM NORTH AMERICA CORPORATION - V2C,"Frisco Double Walled ""Leader Of The Pack"" Personalized Tumbler",P18532,"Frisco Double Walled ""Leader Of The Pack"" Personalized Tumbler",1,219775,0,0,
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,PCA3755,"Frisco Basic Dog & Cat T-Shirt, Red, XXX-Large",,1000082885,0,0,
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat Hoodie,3755,"Frisco Basic Dog & Cat Hoodie, Teal, Small",1500,153689,0,50,0.024738
Toys,Interactive Toys,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Foldable Play Tri-Tunnel Cat Toy,PCA3755,"Frisco Foldable Play Tri-Tunnel Cat Toy, Colorful",,1000066631,0,0,
Specialty Hard Goods,Toys & Decor,B000064-PM&J LLC - DIRECT IMPORT,Frisco Geometric Small Pet Plush Hanging Cube,B000064,"Frisco Geometric Small Pet Plush Hanging Cube, Green",504,278121,0,36,0.1482
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat Hoodie,3755,"Frisco Basic Dog & Cat Hoodie, Pink, XXX-Large",1500,224922,0,50,0.059625
Specialty Hard Goods,Toys & Decor,B000064-PM&J LLC - DIRECT IMPORT,Frisco Herringbone Plush Small Pet House,B000064,"Frisco Herringbone Plush Small Pet House, Blue",504,278116,0,24,0.0882
Specialty Hard Goods,Toys & Decor,B000064-PM&J LLC - DIRECT IMPORT,Frisco Hanging Koala  Small Pet Bed,B000064,"Frisco Hanging Koala  Small Pet Bed, Grey",480,278140,0,48,0.17136
Specialty Hard Goods,Toys & Decor,B000064-PM&J LLC - DIRECT IMPORT,Frisco Forest Small Pet Bunk Bed,B000064,"Frisco Forest Small Pet Bunk Bed, Green",504,278095,0,36,0.0972
Apparel,Apparel,P000421-PETTINGZOO SHANGHAI LIMITED,Frisco Pink Fair Isle Dog & Cat Turtleneck Sweater,P000421,"Frisco Pink Fair Isle Dog & Cat Turtleneck Sweater, XX-Large",,3531966,0,0,
Home Goods,Textiles,B000064-PM&J LLC - DIRECT IMPORT,Frisco Microfiber Chenille Paw Print Doormat Runner,B000064,"Frisco Microfiber Chenille Paw Print Doormat Runner, Brown",498,235888,0,6,0.090608625
Apparel,Apparel,P000421-PETTINGZOO SHANGHAI LIMITED,Frisco Pink Fair Isle Dog & Cat Turtleneck Sweater,P000421,"Frisco Pink Fair Isle Dog & Cat Turtleneck Sweater, Medium",,3531942,0,0,
Apparel,Apparel,P000421-PETTINGZOO SHANGHAI LIMITED,Frisco Pink Fair Isle Dog & Cat Turtleneck Sweater,P000421,"Frisco Pink Fair Isle Dog & Cat Turtleneck Sweater, X-Large",,3531958,0,0,
Apparel,Apparel,P000421-PETTINGZOO SHANGHAI LIMITED,Frisco Autumn Fair Isle Green Squirrels Dog & Cat Turtleneck Sweater,P000421,"Frisco Autumn Fair Isle Green Squirrels Dog & Cat Turtleneck Sweater, X-Large",,3539798,0,0,
Apparel,Apparel,P000421-PETTINGZOO SHANGHAI LIMITED,Frisco Autumn Fair Isle Green Squirrels Dog & Cat Turtleneck Sweater,P000421,"Frisco Autumn Fair Isle Green Squirrels Dog & Cat Turtleneck Sweater, X-Small",,3539766,0,0,
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Red, Medium",1500,139395,0,50,0.013552
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Red, Small",1500,139391,0,50,0.013552
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Pink, X-Small",1500,139388,0,50,0.013552
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Teal, X-Large",1500,153686,0,50,0.0288
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Pink, XX-Large",1500,144602,0,50,0.03375
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Red, X-Large",1500,139403,0,50,0.0288
Toys,Plush Toys,P20837-KIDS FIRST ASIA CO LTD,Frisco Sloth Plush Squeaky Dog Toy,P20837,"Frisco Sloth Plush Squeaky Dog Toy, Small/Medium",1200,174681,0,24,0.038560999747183494
Personalized & Gifting,Gifting & Decor,B000064-PM&J LLC - DIRECT IMPORT,Frisco Microfiber Chenille Paw Print Doormat,B000064,"Frisco Microfiber Chenille Paw Print Doormat, Gray",504,235886,0,12,0.090117
Toys,Plush Toys,P20837-KIDS FIRST ASIA CO LTD,Frisco Unicorn Plush Squeaky Dog Toy,P20837,"Frisco Unicorn Plush Squeaky Dog Toy, White, Medium/Large",1200,174690,0,48,0.08694414084935607
Toys,Plush Toys,P20837-KIDS FIRST ASIA CO LTD,Frisco Sloth Plush Squeaky Dog Toy,P20837,"Frisco Sloth Plush Squeaky Dog Toy, X-Small/Small",1260,174680,0,70,0.041382603353795594
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD","Frisco It's My Birthday Dog & Cat Bandana, Blue",3755,"Frisco It's My Birthday Dog & Cat Bandana, Blue, X-Small/Small",1500,248696,0,250,0.024
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD","Frisco It's My Birthday Dog & Cat Bandana, Blue",3755,"Frisco It's My Birthday Dog & Cat Bandana, Blue, Medium/Large",1500,248697,0,150,0.024
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD","Frisco It's My Birthday Dog & Cat Bandana, Pink",3755,"Frisco It's My Birthday Dog & Cat Bandana, Pink, Medium/Large",1500,248703,0,150,0.019575
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD","Frisco It's My Birthday Dog & Cat Bandana, Pink",3755,"Frisco It's My Birthday Dog & Cat Bandana, Pink, X-Small/Small",1500,248702,0,250,0.024
Apparel,Apparel,P000421-PETTINGZOO SHANGHAI LIMITED,Frisco Autumn Fair Isle Green Squirrels Dog & Cat Turtleneck Sweater,P000421,"Frisco Autumn Fair Isle Green Squirrels Dog & Cat Turtleneck Sweater, Large",,3539790,0,0,
Apparel,Apparel,P000421-PETTINGZOO SHANGHAI LIMITED,Frisco Autumn Fair Isle Green Squirrels Dog & Cat Turtleneck Sweater,P000421,"Frisco Autumn Fair Isle Green Squirrels Dog & Cat Turtleneck Sweater, Small",,3539774,0,0,
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Gingham Personalized Dog & Cat Bandana,P19132,"Frisco Gingham Personalized Dog & Cat Bandana, Red, Large",1,258777,0,1,0
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Gingham Personalized Dog & Cat Bandana,P19132,"Frisco Gingham Personalized Dog & Cat Bandana, Pink, Medium",1,258779,0,1,0
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Gingham Personalized Dog & Cat Bandana,P19132,"Frisco Gingham Personalized Dog & Cat Bandana, Red, Small",1,258775,0,1,0
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Gingham Personalized Dog & Cat Bandana,P19132,"Frisco Gingham Personalized Dog & Cat Bandana, Navy, Medium",1,258770,0,1,0
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Gingham Personalized Dog & Cat Bandana,P19132,"Frisco Gingham Personalized Dog & Cat Bandana, Blue, Small",1,258766,0,1,0
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Nautical Personalized Dog & Cat Bandana,P19132,"Frisco Nautical Personalized Dog & Cat Bandana, Small",1,258762,0,1,0
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Citrus Personalized Dog & Cat Bandana,P19132,"Frisco Citrus Personalized Dog & Cat Bandana, Large",1,258760,0,1,0
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,3755,"Frisco Basic Dog & Cat T-Shirt, Teal, Small",1500,153683,0,50,0.013552
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Citrus Personalized Dog & Cat Bandana,P19132,"Frisco Citrus Personalized Dog & Cat Bandana, Medium",1,258759,0,1,0
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco I Love Mommy Dog & Cat T-Shirt,3755,"Frisco I Love Mommy Dog & Cat T-Shirt, Pink, Large",1500,249273,0,50,0.01836
Specialty Hard Goods,Toys & Decor,B000064-PM&J LLC - DIRECT IMPORT,Frisco Plush Small Pet Snuggle Ball,B000064,"Frisco Plush Small Pet Snuggle Ball, Gray",480,278111,0,60,0.195305
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,PCA3755,"Frisco Basic Dog & Cat T-Shirt, Teal, XXX-Large",,1000082849,0,0,
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Happy Birthday Dog & Cat Crown,PCA3755,"Frisco Happy Birthday Dog & Cat Crown, X-Small/Small",,1000083701,0,0,
Personalized,Personalized People Products,P18532-FUJIFILM NORTH AMERICA CORPORATION - V2C,"Frisco Double Walled ""All We Need Is Paws"" Personalized Tumbler",P18532,"Frisco Double Walled ""All We Need Is Paws"" Personalized Tumbler",1,219774,0,0,
Personalized & Gifting,Human Apparel,"PCA18936-CA: PETPARTY PRODUCTS CO., LTD","STAR WARS DARTH VADER ""Dark Lord of the Sith"" Dog & Cat Hoodie",PCA18936,"STAR WARS DARTH VADER ""Dark Lord of the Sith"" Dog & Cat Hoodie, XX-Large",,1000088975,0,0,
Personalized & Gifting,Human Apparel,"PCA18936-CA: PETPARTY PRODUCTS CO., LTD","STAR WARS DARTH VADER ""Dark Lord of the Sith"" Dog & Cat Hoodie",PCA18936,"STAR WARS DARTH VADER ""Dark Lord of the Sith"" Dog & Cat Hoodie, Large",,1000088987,0,0,
Personalized & Gifting,Human Apparel,"PCA18936-CA: PETPARTY PRODUCTS CO., LTD","STAR WARS DARTH VADER ""Dark Lord of the Sith"" Dog & Cat Hoodie",PCA18936,"STAR WARS DARTH VADER ""Dark Lord of the Sith"" Dog & Cat Hoodie, Medium",,1000088993,0,0,
Personalized & Gifting,Human Apparel,"PCA18936-CA: PETPARTY PRODUCTS CO., LTD","STAR WARS DARTH VADER ""Dark Lord of the Sith"" Dog & Cat Hoodie",PCA18936,"STAR WARS DARTH VADER ""Dark Lord of the Sith"" Dog & Cat Hoodie, X-Large",,1000088981,0,0,
Personalized & Gifting,Human Apparel,"PCA18936-CA: PETPARTY PRODUCTS CO., LTD","STAR WARS DARTH VADER ""Dark Lord of the Sith"" Dog & Cat Hoodie",PCA18936,"STAR WARS DARTH VADER ""Dark Lord of the Sith"" Dog & Cat Hoodie, Small",,1000088999,0,0,
Toys,Plush Toys,P20837-KIDS FIRST ASIA CO LTD,Frisco Alligator Wagazoo Plush Squeaky Dog Toy,P20837,"Frisco Alligator Wagazoo Plush Squeaky Dog Toy, X-Large",1200,174751,0,12,0.11160018079209764
Toys,Chew Toys,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Latex Squeaky Puppy Toy,3755,"Frisco Latex Squeaky Puppy Toy, Blue, X-Small/Small",1296,174775,0,144,0.044172377718323066
Toys,Plush Toys,PCA20837-CA: KIDS FIRST ASIA CO LTD,Frisco Birthday Balloon Plush with Rope Squeaky Dog Toy,PCA20837,"Frisco Birthday Balloon Plush with Rope Squeaky Dog Toy, Blue, Small/Medium",,1000014398,0,0,
Personalized,Personalized Pet Products,P19132-YELLOW DOG DESIGN - PL V2C,Frisco Gingham Personalized Dog & Cat Bandana,P19132,"Frisco Gingham Personalized Dog & Cat Bandana, Black, Large",1,258774,0,1,0
Toys,Plush Toys,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Dinosaur Latex Squeaky Dog Toy,3755,"Frisco Dinosaur Latex Squeaky Dog Toy, Small/Medium",1500,174770,0,30,0.04145900361482844
Apparel,Apparel,P000421-PETTINGZOO SHANGHAI LIMITED,Frisco Fair Isle Navy Highland Cow Dog & Cat Turtleneck Sweater,P000421,"Frisco Fair Isle Navy Highland Cow Dog & Cat Turtleneck Sweater, X-Small",,3532142,0,0,
Toys,Plush Toys,P20837-KIDS FIRST ASIA CO LTD,Frisco Beaver Stuffing-Free Flat Plush Squeaky Dog Toy,P20837,"Frisco Beaver Stuffing-Free Flat Plush Squeaky Dog Toy, Medium/Large",1224,174729,0,36,0.05452150150107039
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco I Love Mommy Dog & Cat T-Shirt,3755,"Frisco I Love Mommy Dog & Cat T-Shirt, Gray, Medium",1500,249280,0,50,0.014168
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco I Love Daddy Dog & Cat T-Shirt,3755,"Frisco I Love Daddy Dog & Cat T-Shirt, Gray, XX-Large",1500,249267,0,50,0.03069
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco I Love Daddy Dog & Cat T-Shirt,3755,"Frisco I Love Daddy Dog & Cat T-Shirt, Gray, Large",1500,249265,0,50,0.01836
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco I Love Daddy Dog & Cat T-Shirt,3755,"Frisco I Love Daddy Dog & Cat T-Shirt, Gray, Medium",1500,249264,0,50,0.014168
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Security Dog & Cat T-Shirt,3755,"Frisco Security Dog & Cat T-Shirt, Jet Black, X-Large",1500,139504,0,50,0.01836
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Security Dog & Cat T-Shirt,3755,"Frisco Security Dog & Cat T-Shirt, Jet Black, Medium",1500,139502,0,50,0.014168
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Security Dog & Cat T-Shirt,3755,"Frisco Security Dog & Cat T-Shirt, Jet Black, Small",1500,139501,0,50,0.0099
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Security Dog & Cat T-Shirt,3755,"Frisco Security Dog & Cat T-Shirt, Jet Black, X-Small",1500,139500,0,50,0.0099
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Security Dog & Cat T-Shirt,3755,"Frisco Security Dog & Cat T-Shirt, Jet Black, XX-Large",1500,152429,0,50,0.03069
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco I Love Mommy Dog & Cat T-Shirt,3755,"Frisco I Love Mommy Dog & Cat T-Shirt, Pink, Small",1500,249271,0,50,0.0099
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Gray Striped Dog & Cat Hoodie,3755,"Frisco Gray Striped Dog & Cat Hoodie, Gray Stripe, X-Large",1500,317308,0,50,0.044000
Toys,Plush Toys,PCA20837-CA: KIDS FIRST ASIA CO LTD,Frisco Duck Plush with Inside Rope Squeaky Dog Toy,PCA20837,"Frisco Duck Plush with Inside Rope Squeaky Dog Toy, Medium",1224,1000014334,0,36,0.05565108184622359
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Dog & Cat Basic Hoodie,PCA3755,"Frisco Dog & Cat Basic Hoodie, Teal, X-Large",1500,1000065521,0,50,0.044
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco I Love Mommy Dog & Cat T-Shirt,PCA3755,"Frisco I Love Mommy Dog & Cat T-Shirt, Pink, X-Large",1500,1000068017,0,50,0.01836
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD","Frisco I Love Mommy Dog & Cat T-Shirt, Gray",PCA3755,"Frisco I Love Mommy Dog & Cat T-Shirt, Gray, Small",1500,1000068059,0,50,0.0099
Toys,Plush Toys,PCA20837-CA: KIDS FIRST ASIA CO LTD,Frisco Giraffe Bobberz Plush Squeaky Dog Toy,PCA20837,"Frisco Giraffe Bobberz Plush Squeaky Dog Toy, Large/X-Large",1200,1000066721,0,24,0.086944
Personalized & Gifting,Human Apparel,PCA000400-CA: Pureland Outdoor HK Ltd.,Frisco Ripstop Dog Life Jacket,PCA000400,"Frisco Ripstop Dog Life Jacket, Orange, Medium",3000,1000065329,0,12,0.06983757126072368
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Plaid Non-Skid Dog Socks,PCA3755,"Frisco Plaid Non-Skid Dog Socks, Red, Size 1",300,1000098761,0,300,0.1386
Toys,Electronic Toys,PCA000750-CA: YOUNSAINT INDUSTRIAL LIMITED,Frisco 2-in-1 Laser & LED Light Laser Cat Toy,PCA000750,"Frisco 2-in-1 Laser & LED Light Laser Cat Toy, Red",3024,1000013926,0,72,0.02600404383334909
Toys,Interactive Toys,PCA20837-CA: KIDS FIRST ASIA CO LTD,Frisco Trash Can & Raccoons Hide & Seek Puzzle Plush Squeaky Dog Toy Refills,PCA20837,"Frisco Trash Can & Raccoons Hide & Seek Puzzle Plush Squeaky Dog Toy Refills, Small/Medium, 3 count",1200,1000066745,0,48,0.058608
Personalized & Gifting,Human Apparel,PCA000400-CA: Pureland Outdoor HK Ltd.,Frisco Ripstop Dog Life Jacket,PCA000400,"Frisco Ripstop Dog Life Jacket, Orange, Small",3000,1000065341,0,24,0.08227038119877565
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD","Frisco I Love Daddy Dog & Cat T-Shirt, Gray",PCA3755,"Frisco I Love Daddy Dog & Cat T-Shirt, Gray, X-Large",1500,1000067987,0,50,0.01836
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Polka Dot Chambray Dog & Cat Button Up Shirt,PCA3755,"Frisco Polka Dot Chambray Dog & Cat Button Up Shirt, Medium",1500,1000067975,0,50,0.0225
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD","Frisco I Love Daddy Dog & Cat T-Shirt, Gray",PCA3755,"Frisco I Love Daddy Dog & Cat T-Shirt, Gray, Small",1500,1000068005,0,50,0.0099
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD","Frisco I Love Daddy Dog & Cat T-Shirt, Gray",PCA3755,"Frisco I Love Daddy Dog & Cat T-Shirt, Gray, Large",1500,1000067999,0,50,0.01836
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD","Frisco I Love Daddy Dog & Cat T-Shirt, Gray",PCA3755,"Frisco I Love Daddy Dog & Cat T-Shirt, Gray, X-Small",1500,1000067993,0,50,0.013552
Personalized & Gifting,Human Apparel,PCA000421-CA: PETTINGZOO SHANGHAI LIMITED,Frisco Mediumweight Colorblock Adventure Insulated Dog & Cat Parka,PCA000421,"Frisco Mediumweight Colorblock Adventure Insulated Dog & Cat Parka, Red, X-Small",1500,1000069241,0,50,0.04920868850074041
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Heart Print Dog & Cat Jersey PJs,3755,"Frisco Heart Print Dog & Cat Jersey PJs, Large",1500,1099294,0,50,0.02517953427463718
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Heart Print Dog & Cat Jersey PJs,3755,"Frisco Heart Print Dog & Cat Jersey PJs, XX-Large",1500,1099310,0,50,0.04083991221730253
Apparel,Apparel,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Heart Print Dog & Cat Jersey PJs,3755,"Frisco Heart Print Dog & Cat Jersey PJs, Medium",1500,1099286,0,50,0.016111488644055042
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Basic Dog & Cat T-Shirt,PCA3755,"Frisco Basic Dog & Cat T-Shirt, Lime, Small",1500,1000065191,0,50,0.0099
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Lightweight Rubber Ducky Dog Raincoat,PCA3755,"Frisco Lightweight Rubber Ducky Dog Raincoat, Blue, Medium",1500,1000064825,0,48,0.02639
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Dog & Cat Basic Hoodie,PCA3755,"Frisco Dog & Cat Basic Hoodie, Forest Green, X-Small",1500,1000065509,0,50,0.01512
Apparel,Apparel,"P18936-PETPARTY PRODUCTS CO., LTD",Frisco Go Sports Dog & Cat T-Shirt,P18936,"Frisco Go Sports Dog & Cat T-Shirt, Red, X-Large",1536,1642438,0,48,0.0372
Apparel,Apparel,"P18936-PETPARTY PRODUCTS CO., LTD",Frisco Go Sports Dog & Cat T-Shirt,P18936,"Frisco Go Sports Dog & Cat T-Shirt, Red, Medium",1500,1642422,0,60,0.0372
Apparel,Apparel,"P18936-PETPARTY PRODUCTS CO., LTD",Frisco Go Sports Dog & Cat T-Shirt,P18936,"Frisco Go Sports Dog & Cat T-Shirt, White, Small",1512,1642462,0,72,0.03472
Apparel,Apparel,"P18936-PETPARTY PRODUCTS CO., LTD",Frisco Go Sports Dog & Cat T-Shirt,P18936,"Frisco Go Sports Dog & Cat T-Shirt, White, X-Small",1536,1642454,0,96,0.03224
Apparel,Apparel,"P18936-PETPARTY PRODUCTS CO., LTD",Frisco Go Sports Dog & Cat T-Shirt,P18936,"Frisco Go Sports Dog & Cat T-Shirt, Red, XX-Large",1512,1642446,0,36,0.0372
Apparel,Apparel,"P18936-PETPARTY PRODUCTS CO., LTD",Frisco Go Sports Dog & Cat T-Shirt,P18936,"Frisco Go Sports Dog & Cat T-Shirt, White, Medium",1500,1642470,0,60,0.0372
"Leashes, Collars & Harnesses",Collars,P21160-HONG KONG FEIYANG TRADING CO LIMITED,Frisco Valentine Heart Printed Cat Collar,P21160,"Frisco Valentine Heart Printed Cat Collar, 8 to 12-in neck, 3/8-in wide",300,1256886,0,96,0.0035283086428565522
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Birthday Cake Dog & Cat Hat,PCA3755,"Frisco Birthday Cake Dog & Cat Hat, Medium/Large",1500,1000065275,0,24,0.069312
Personalized & Gifting,Human Apparel,PCA000400-CA: Pureland Outdoor HK Ltd.,Frisco Active Dog Life Jacket,PCA000400,"Frisco Active Dog Life Jacket, Small",3000,1000067903,0,24,0.06325454939908143
Personalized & Gifting,Human Apparel,PCA000400-CA: Pureland Outdoor HK Ltd.,Frisco Active Dog Life Jacket,PCA000400,"Frisco Active Dog Life Jacket, X-Large",3000,1000067909,0,12,0.0852797536142419
Personalized & Gifting,Human Apparel,PCA000400-CA: Pureland Outdoor HK Ltd.,Frisco Active Dog Life Jacket,PCA000400,"Frisco Active Dog Life Jacket, Medium",3000,1000098797,0,12,0.04867491748632879
