MC2_NAME,MC3_NAME,CHW_PRIMARY_SUPPLIER_NAME,PRODUCT,CHW_PRIMARY_SUPPLIER_NUMBER,SKU_NAME,PURCHASE_MOQ,CHW_SKU_NUMBER,CHW_UNITS_PER_CARTON,CHW_MASTER_CASE_PACK,CHW_MASTER_CARTON_CBM
Litter Accessories,Litter Boxes,PCA000420-CA: MODERNA PRODUCTS AMERICA LLC,"Frisco Open Top Cat Litter Box With Rim, Large",PCA000420,"Frisco Open Top Cat Litter Box With Rim, Large, Gray, 19-in",342,1000018534,0,1,1.8878234135044103
Personalized & Gifting,Human Apparel,PCA000421-CA: PETTINGZOO SHANGHAI LIMITED,"Frisco Dog & Cat Cozy Plush Fleece PJs, Green Plaid",PCA000421,"Frisco Dog & Cat Cozy Plush Fleece PJs, Green Plaid, Small",1500,1000068833,0,50,0.040128
Containment & Gear,Containment,PCA000064-CA: PM&J LLC - DIRECT IMPORT,Frisco Plush Tri-fold Arrow Print Dog Crate Mat,PCA000064,"Frisco Plush Tri-fold Arrow Print Dog Crate Mat, 42-in",252,1000016526,0,12,0.290016
"Leashes, Collars & Harnesses",Leashes,PCA000064-CA: PM&J LLC - DIRECT IMPORT,Frisco Outdoor Nylon Reflective Comfort Padded Dual Handles Dog Leash,PCA000064,"Frisco Outdoor Nylon Reflective Comfort Padded Dual Handles Dog Leash, Black, MD - Length: 6-ft, Width: 3/4-in",500,1000068359,0,50,0.01144
Bowls & Feeders,Bowls & Diners,"PCA000579-CA: GO FETCH, LLC",Frisco Wooden Bars Dog & Cat Double Bowl Diner,PCA000579,"Frisco Wooden Bars Dog & Cat Double Bowl Diner, White, Small: 2 cup",150,1000068425,0,1,
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Dog & Cat Basic Hoodie,PCA3755,"Frisco Dog & Cat Basic Hoodie, Navy, Small",1500,1000065527,0,50,0.024738
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Mid-Heavyweight Manhattan Tweed Dog & Cat Coat,PCA3755,"Frisco Mid-Heavyweight Manhattan Tweed Dog & Cat Coat, Large",1500,1000066397,0,25,0.069350962401
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Non-Skid Dog Socks,PCA3755,"Frisco Non-Skid Dog Socks, Black, Size 4",300,1000082693,0,300,0.12012
Toys,Interactive Toys,PCA3722-CA: JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,Frisco Unicorn & Rainbow Cat Tracks Cat Toy with Catnip,PCA3722,Frisco Unicorn & Rainbow Cat Tracks Cat Toy with Catnip,1500,1000017918,0,12,0.07242906712618914
Containment & Gear,Containment,BCA000164-PMandJ LLC - Vietnam CA,Frisco Fold & Carry Double Door Collapsible Wire Dog Crate & Mat Kit,BCA000164,"Frisco Fold & Carry Double Door Collapsible Wire Dog Crate & Mat Kit, Med/Large",250,1000067003,0,1,0.06568551830870065
