ITEM_ID,CARTONIZATION_FLAG,TOTAL_STAT_FCAST,TLA_FCAST,TNY_FCAST,MDT1_FCAST
3255134,true,3437.5866304725214,1730.1080643390414,1707.478566133479,0.0
219486,true,3451.408636460499,1281.5037212017257,2169.9049152587727,0.0
292018,true,25.081155437270198,12.32022730987605,12.760928127394148,0.0
344150,true,14.336728420379714,7.136180056638405,7.200548363741312,0.0
256073,true,3821.399530199659,1854.6959432697968,1966.7035869298604,0.0
298913,true,1831.6834217229466,909.8498804716173,803.7136387836724,118.11990246765723
533662,true,2788.9097293386867,1320.0781199567552,1468.831609381932,0.0
1475198,true,156.3932683591775,94.3325431250439,62.06072523413363,0.0
3319662,true,122.01927890206129,60.236371155554295,61.78290774650699,0.0
258360,true,605.106960814323,281.4535451699871,323.653415644336,0.0
113290,true,2266.400707369892,1310.5105639167307,955.8901434531615,0.0
574230,true,15986.163097192115,8419.731500189237,6502.473676247858,1063.9579207550182
1760238,true,18897.793812532112,9163.370423524142,8238.731683761856,1495.691705246108
2293942,true,34.235957014076135,17.15547767112381,17.08047934295233,0.0
139824,true,451.22346031873195,171.44524888022409,279.7782114385079,0.0
3531950,true,14.531091003752906,7.148765422422488,7.382325581330415,0.0
745910,true,549.2091227402219,261.24007318573103,287.96904955449094,0.0
1772518,true,25.41340511046672,12.49603953153326,12.917365578933467,0.0
1499302,true,1141.9635351408485,580.9165236962916,561.047011444557,0.0
169661,true,4445.05323175066,2269.267097569227,1883.4117116420903,292.3744225393444
574014,true,11783.285946392101,5965.202424811053,5142.0202270769905,676.06329450406
88797,false,5566.6249279420135,3036.790847885546,1088.830662808617,1441.0034172478502
102992,true,19855.58567091896,9976.141478531461,8392.444192157453,1487.0000002300478
3274718,false,30262.74716917351,16049.35365342374,14213.393515749776,0.0
1112846,true,7498.754548208172,3306.8190466108153,3623.6903010098026,568.2452005875538
1048070,true,516.5935921830985,267.6872246242685,248.9063675588299,0.0
230095,true,7236.595436584183,3984.8212638980795,2750.506162691705,501.2680099943978
103006,true,4940.073360394894,2552.6622971682564,2019.2688825062685,368.1421807203684
151824,true,20903.61603781132,11059.146609385618,8346.681107920625,1497.7883205050716
1332734,true,39.727705422642295,20.07829801216688,19.64940741047542,0.0
272119,true,6698.981504144911,3623.376814901133,2679.269893993609,396.334795250168
135724,true,11448.044243666618,4363.61677244202,6177.921314831326,906.506156393273
908158,true,1413.1040199807455,766.4025549383772,646.7014650423682,0.0
163743,false,1711.1164854395047,1017.8699257467827,199.20589245805849,494.0406672346637
158888,true,279.1755921915999,156.9912121012018,122.18438009039804,0.0
238153,false,618.6437171483054,367.1386005863476,81.11301472513412,170.39210183682357
260936,true,833.3489234654202,402.9925489818466,430.35637448357375,0.0
300199,true,25.07234097822663,12.31588504963696,12.756455928589672,0.0
223875,true,2204.948502661151,927.7775009186855,1277.1710017424655,0.0
90502,true,3565.8046833544704,2208.703529493155,1157.9857410347238,199.11541282659124
227460,true,7862.065486080438,3289.072804476386,4027.409084355956,545.5835972480968
1816222,true,2836.8248853179775,1361.5852162534675,1475.2396690645098,0.0
344049,true,14.32788257094072,7.437995282847108,6.889887288093611,0.0
710438,true,250.8216214966152,139.33644940205298,111.48517209456216,0.0
908094,true,236.5127757820186,112.92459029551242,123.58818548650612,0.0
1376646,true,2136.953469208302,1080.3271180399927,893.0885084258263,163.53784274248304
988182,true,286.2313534351252,146.28391211644734,139.94744131867776,0.0
373441,true,1293.5678609548968,774.8404741004236,518.7273868544731,0.0
268482,true,1066.3391929741165,505.5231424265886,560.8160505475279,0.0
1791150,true,114.38570201825983,56.624031359356515,57.761670658903306,0.0
973374,true,1064.7619669844796,516.4042344367292,548.3577325477504,0.0
3515910,true,24.647732475172557,12.142166417549932,12.505566057622625,0.0
708894,true,40.684121843333976,20.084727765659714,20.599394077674262,0.0
160121,true,944.6479101981902,394.3609075094414,550.2870026887488,0.0
110506,true,1912.3649888969292,989.9237257002995,922.4412631966297,0.0
2369886,true,52.87521273915091,26.086767056412555,26.788445682738367,0.0
3546390,true,313.7446025366506,164.65911031752077,149.08549221912978,0.0
324552,true,354.43889049752676,164.48574108983917,189.9531494076875,0.0
158351,true,116.12536490616897,59.32389371112138,56.80147119504761,0.0
152381,true,55203.13018216612,25284.0989086458,25178.2643424957,4740.766931024625
3333670,true,4402.471726970011,2216.703608332177,2185.7681186378345,0.0
908166,true,20.974576142573113,12.705520986691551,8.26905515588156,0.0
102989,true,8165.063631825973,3999.9986387380327,3791.5946497365126,373.47034335142865
1017438,true,389.0764897422601,190.07612774720042,199.0003619950597,0.0
1475222,true,491.6517707678166,296.33811539139265,195.31365537642398,0.0
874854,true,93.27950818633524,41.429223506548816,51.8502846797864,0.0
163742,false,993.1259887661735,535.6895561630477,133.67962640834435,323.7568061947814
3274446,false,63287.92993903431,30292.88990850147,32995.040030532844,0.0
227453,true,4532.458091685536,1875.1957145742865,2170.764817831272,486.4975592799766
2050950,true,25.41340511046673,12.496039531533258,12.917365578933468,0.0
1980830,true,25.413405110466716,12.496039531533258,12.917365578933467,0.0
1049230,true,198.49582835784506,99.5979563894495,98.89787196839558,0.0
358070,true,25.056319021440025,12.307992168763569,12.748326852676461,0.0
2369926,true,115.73943208281456,56.99276962944636,58.74666245336821,0.0
204527,true,2145.5219910380138,1006.5394037997106,1138.9825872383028,0.0
1200638,true,1587.6281138716117,0.0,1587.6281138716117,0.0
1065326,true,106.18046048517509,58.65503924081669,47.52542124435837,0.0
256663,true,235.34238084025984,123.6271503361721,111.71523050408777,0.0
