CHW_SKU_NUMBER	MC2_NAME	MC3_NAME	CHW_PRIMARY_SUPPLIER_NAME	PRODUCT	CHW_PRIMARY_SUPPLIER_NUMBER	SKU_NAME	PURCHASE_MOQ	CHW_UNITS_PER_CARTON	CHW_MASTER_CASE_PACK	CHW_MASTER_CARTON_CBM	DEST	Demand
227481	Waste Management	Poop Scoopers	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Spring Action Foldable Scooper	B3722	Frisco Spring Action Foldable Scooper, X-Large	102	6.0	6.0	0.116112	TNY	108.23490510891031
227457	Waste Management	Potty Pads & Diapers	P000486-TIANJIN YIYI HYGIENE PRODUCTS CO. LTD	Frisco Large Charcoal Dog Training & Potty Pads	P000486	Frisco Large Charcoal Dog Training & Potty Pads, 22 x 23-in, Unscented, 150 count	250	1.0	1.0	0.03685611451175056	TNY	391.09197596895007
135716	Waste Management	Poop Bags	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Refill Dog Poop Bags	B3722	Frisco Refill Dog Poop Bags, Unscented, 120 count	528	48.0	48.0	0.03492675	TNY	278.14752166271944
227445	Waste Management	Potty Pads & Diapers	P000486-TIANJIN YIYI HYGIENE PRODUCTS CO. LTD	Frisco Giant Eco-Conscious Dog Training & Potty Pads	P000486	Frisco Giant Eco-Conscious Dog Training & Potty Pads, 27.5 x 44-in, Unscented, 50 count	450	1.0	1.0	0.034453860457729836	TNY	212.04716673851058
315714	Waste Management	Potty Pads & Diapers	3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD	Frisco Washable Dog Potty Pads	3755	Frisco Washable Dog Potty Pads, Gray, 30 x 32-in, Unscented, 2 count	414	18.0	18.0	0.078585	TNY	214.58511399137913
99232	Beds & Furniture	Beds	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Replacement Cover for Steel-Framed Elevated Dog Bed	B3722	Frisco Replacement Cover for Steel-Framed Elevated Dog Bed, Brown, L:  43.7-in L  x  32.4-in W, 1 count	264	24.0	24.0	0.04941	TNY	111.10564034978906
315702	Waste Management	Potty Pads & Diapers	3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD	Frisco Washable Female Diaper	3755	Frisco Washable Female Diaper, Medium, Flamingo	400	25.0	25.0	0.0598034876367574	TNY	206.0320430476837
862830	Waste Management	Potty Pads & Diapers	3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD	Frisco Washable Female Dog Diaper	3755	Frisco Washable Female Dog Diaper, X-Large, 3 count	400	0.0	25.0	0.0783	TNY	203.1810402173121
204560	Toys	Plush Toys	P20837-KIDS FIRST ASIA CO LTD	Frisco Unicorn Stuffing-Free Flat Plush Squeaky Dog Toy	P20837	Frisco Unicorn Stuffing-Free Flat Plush Squeaky Dog Toy, Pink, Medium/Large	1224	0.0	36.0	0.039586154315118326	TNY	928.9716845105221
202534	Toys	Plush Toys	P000421-PETTINGZOO SHANGHAI LIMITED	Frisco Birthday Cake Plush Squeaky Dog Toy	P000421	Frisco Birthday Cake Plush Squeaky Dog Toy, Large	1500	0.0	12.0	0.055016	TNY	859.0209832097692
837758	Toys	Interactive Toys	3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD	Frisco Foldable Play Tunnel with Mesh Cat Toy	3755	Frisco Foldable Play Tunnel with Mesh Cat Toy, Baltic Teal	1536	0.0	48.0	0.0536594610388071	TNY	631.7032502006998
347221	Toys	Scratcher Toys	P27093-SPORTPET DESIGNS LLC	Frisco Wave Cat Scratcher Toy with Catnip	P27093	Frisco Wave Cat Scratcher Toy with Catnip, Tropical Paradise	1500	0.0	6.0	0.061210151392000006	TNY	682.4717001183504
166518	Toys	Scratcher Toys	P27093-SPORTPET DESIGNS LLC	Frisco Scratch & Roll Scratcher Cat Toy Refills	P27093	Frisco Scratch & Roll Scratcher Cat Toy Refills, 2 count	1224	0.0	36.0	0.129214	TNY	689.1501680737758
264446	Toys	Interactive Toys	P000421-PETTINGZOO SHANGHAI LIMITED	Frisco Pinata Teaser Wand Cat Toy with Catnip	P000421	Frisco Pinata Teaser Wand Cat Toy with Catnip	1536	0.0	96.0	0.04176	TNY	529.607672569954
174683	Toys	Plush Toys	P20837-KIDS FIRST ASIA CO LTD	Frisco Duck Plush Squeaky Dog Toy	P20837	Frisco Duck Plush Squeaky Dog Toy, X-Small/Small	1224	0.0	36.0	0.024948767911050832	TNY	522.5003567685635
147049	Toys	Plush Toys	P20837-KIDS FIRST ASIA CO LTD	Frisco Fox Skinny Plush Squeaky Dog Toy	P20837	Frisco Fox Skinny Plush Squeaky Dog Toy, Medium/Large	1224	0.0	36.0	0.04953672223995021	TNY	525.3577638726772
