product_merch_classification2,product_merch_classification3,product_category_level1,product_category_level2,product_category_level3,parent_product_part_number,product_part_number,product_name,Code,vendor_name,vendor_purchaser_code,Purchase MOQ,Master Case Pack,Case Pk CBM,Vendor Earliest ETD,DEST,Demand,cases_needed,total_cbm,container
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,112076,"Frisco Steel-Framed Elevated Dog Bed, Gray, Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,5,0.0636771,2025-11-01 00:00:00,MDT1,205.04486740755215,42,2.6744382,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,112072,"Frisco Steel-Framed Elevated Dog Bed, Green, Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,5,0.0636771,2025-11-01 00:00:00,MDT1,103.68582969794826,21,1.3372191,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,336123.0,309822,"Frisco Dog Poop Bag Solid Assortment in Teal Blue, Violet, Gray, & Coral, 270 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,504,24,0.0406848,2025-11-01 00:00:00,MDT1,69.33400958385407,3,0.12205440000000001,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,162702.0,135730,"Frisco Refill Dog Poop Bags, Unscented, 900 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,500,10,0.05194,2025-11-01 00:00:00,MDT1,60.26660440355829,7,0.36358,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,162702.0,135729,"Frisco Refill Dog Poop Bags, Scented, 900 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,500,10,0.05194,2025-11-01 00:00:00,MDT1,47.98701972928186,5,0.2597,1
Waste Management,Poop Scoopers,Dog,Waste Management,Poop Scoopers,253996.0,227481,"Frisco Spring Action Foldable Scooper, X-Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,102,6,0.116112,2025-11-01 00:00:00,MDT1,12.862241973123776,3,0.34833600000000003,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,162702.0,135716,"Frisco Refill Dog Poop Bags, Unscented, 120 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,528,48,0.03492675,2025-11-01 00:00:00,MDT1,45.98752028897757,1,0.03492675,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,112068,"Frisco Steel-Framed Elevated Dog Bed, Terracotta, Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,5,0.0636771,2025-11-01 00:00:00,MDT1,53.09390011059689,11,0.7004481,1
Litter Accessories,Mats,Cat,Litter & Accessories,Mats,193006.0,309791,"Frisco Paw Shaped Cat Litter Mat, Beige",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,1520,40,0.0904084,2025-11-01 00:00:00,MDT1,112.68946604370736,3,0.2712252,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193147.0,166447,"Frisco Easy Grip Stake with Tie Out Cable, Large, 30-ft",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,204,6,0.0191565,2025-11-01 00:00:00,MDT1,63.0446095812886,11,0.2107215,1
Bowls & Feeders,Bowls & Diners,Dog,Bowls & Feeders,Bowls & Diners,201909.0,175221,"Frisco Stainless Steel Bowl, Medium: 4 cup, 2 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,1504,16,0.037125,2025-11-01 00:00:00,MDT1,230.63943855783432,15,0.556875,1
Beauty & Grooming,Brushes & Combs,Dog,Grooming,Brushes & Combs,233445.0,206845,"Frisco Grooming Glove, Right Hand",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,500,100,0.05075,2025-11-01 00:00:00,MDT1,73.99790306025108,1,0.05075,1
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,117279.0,191969,"Frisco Large Premium Dog Training & Potty Pads, 22 x 23-in, Scented, 150 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.03555,2025-11-01 00:00:00,MDT1,61.40412910974127,62,2.2041,1
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,117273.0,191971,"Frisco X-Large Premium Dog Training & Potty Pads, 28 x 34-in, Scented, 40 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.026881875,2025-11-01 00:00:00,MDT1,153.61836288219965,154,4.13980875,1
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,253966.0,227451,"Frisco X-Large Ultra Premium Non-Skid Dog Training & Potty Pads, 28 x 34-in, Unscented, 40 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.0329,2025-11-01 00:00:00,MDT1,18.70415736303942,19,0.6251,1
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,253969.0,227454,"Frisco Giant Ultra Premium Non-Skid Dog Training & Potty Pads, 27.5 x 44-in, Unscented, 50 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.04491125,2025-11-01 00:00:00,MDT1,35.96080510636815,36,1.616805,1
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,253963.0,227448,"Frisco Large Ultra Premium Non-Skid Dog Training & Potty Pads, 22 x 23-in, Unscented, 150 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.046215,2025-11-01 00:00:00,MDT1,13.515820678903811,14,0.64701,1
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,253963.0,309795,"Frisco Large Ultra Premium Non-Skid Dog Training & Potty Pads, 22 x 23-in, Unscented, 300 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.09717,2025-11-01 00:00:00,MDT1,86.8244261775372,87,8.45379,1
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,253969.0,309839,"Frisco Giant Ultra Premium Non-Skid Dog Training & Potty Pads, 27.5 x 44-in, Scented, 50 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.04491125,2025-11-01 00:00:00,MDT1,15.587793061890176,16,0.71858,1
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,862694.0,862702,"Frisco Indoor Dog Grass Potty Pad with Tray, 20 x 20-in",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,102,6,0.07728075,2025-11-01 00:00:00,MDT1,14.408723684978717,3,0.23184224999999997,1
Containment & Gear,Containment,Dog,"Beds, Crates & Gear",Gates,1214806.0,1214830,"Frisco Cat Safety Gate, Bright White",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,300,1,0.0573408,2025-11-01 00:00:00,MDT1,164.9126979724898,165,9.461231999999999,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,112076,"Frisco Steel-Framed Elevated Dog Bed, Gray, Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,5,0.0636771,2025-11-01 00:00:00,TLA,598.2755134652755,120,7.641252,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126783.0,112081,"Frisco Replacement Cover for Steel-Framed Elevated Dog Bed, Terracotta, L:  43.7-in L  x  32.4-in W, 1 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,264,24,0.04941,2025-11-01 00:00:00,TLA,206.9823522187781,9,0.44469000000000003,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,99229,"Frisco Steel-Framed Elevated Dog Bed, Brown, Medium",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,252,6,0.05881245,2025-11-01 00:00:00,TLA,255.44433825064516,43,2.5289353500000002,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,112072,"Frisco Steel-Framed Elevated Dog Bed, Green, Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,5,0.0636771,2025-11-01 00:00:00,TLA,278.84798363048185,56,3.5659176,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,336123.0,309822,"Frisco Dog Poop Bag Solid Assortment in Teal Blue, Violet, Gray, & Coral, 270 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,504,24,0.0406848,2025-11-01 00:00:00,TLA,429.478343752989,18,0.7323264,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,162702.0,135730,"Frisco Refill Dog Poop Bags, Unscented, 900 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,500,10,0.05194,2025-11-01 00:00:00,TLA,332.0001029598899,34,1.76596,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,99228,"Frisco Steel-Framed Elevated Dog Bed, Brown, Small",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,252,6,0.04983345,2025-11-01 00:00:00,TLA,143.14906370679336,24,1.1960028,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,162702.0,135729,"Frisco Refill Dog Poop Bags, Scented, 900 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,500,10,0.05194,2025-11-01 00:00:00,TLA,302.242496719972,31,1.61014,1
Waste Management,Poop Scoopers,Dog,Waste Management,Poop Scoopers,253996.0,227481,"Frisco Spring Action Foldable Scooper, X-Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,102,6,0.116112,2025-11-01 00:00:00,TLA,130.90285291796596,22,2.5544640000000003,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,162702.0,135716,"Frisco Refill Dog Poop Bags, Unscented, 120 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,528,48,0.03492675,2025-11-01 00:00:00,TLA,203.86495804830298,5,0.17463375,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126783.0,99232,"Frisco Replacement Cover for Steel-Framed Elevated Dog Bed, Brown, L:  43.7-in L  x  32.4-in W, 1 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,264,24,0.04941,2025-11-01 00:00:00,TLA,152.894359650211,7,0.34587,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,112068,"Frisco Steel-Framed Elevated Dog Bed, Terracotta, Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,5,0.0636771,2025-11-01 00:00:00,TLA,149.07037651836515,30,1.910313,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,112074,"Frisco Steel-Framed Elevated Dog Bed, Gray, Small",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,252,6,0.04983345,2025-11-01 00:00:00,TLA,167.2032467793899,28,1.3953366,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126783.0,112088,"Frisco Replacement Cover for Steel-Framed Elevated Dog Bed, Gray, M:  35.7-in L  x  26.3-in W, 1 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,264,24,0.034398,2025-11-01 00:00:00,TLA,161.8075855845818,7,0.240786,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193067.0,166379,"Frisco Tie Out Cable, Small, 10-ft",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,200,10,0.003521875,2025-11-01 00:00:00,TLA,98.11181782433496,10,0.03521875,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193136.0,166437,"Frisco Tie Out Cable, 15-ft",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,200,5,0.004698,2025-11-01 00:00:00,TLA,101.79707700341079,21,0.098658,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193131.0,166431,"Frisco Tie Out Cable, Large, 30-ft",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,204,6,0.006137,2025-11-01 00:00:00,TLA,173.49937935116122,29,0.177973,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193088.0,166388,"Frisco Tie Out Cable, Medium, 15-ft",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,200,8,0.004374,2025-11-01 00:00:00,TLA,98.89799393915573,13,0.056862,1
Litter Accessories,Mats,Cat,Litter & Accessories,Mats,193006.0,309791,"Frisco Paw Shaped Cat Litter Mat, Beige",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,1520,40,0.0904084,2025-11-01 00:00:00,TLA,694.3132857201279,18,1.6273512,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193136.0,166439,"Frisco Tie Out Cable, 30-ft",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,200,5,0.0084942,2025-11-01 00:00:00,TLA,228.08989847409998,46,0.3907332,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193164.0,166464,"Frisco Easy Grip Spiral Stake, 18-in",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,204,6,0.00891,2025-11-01 00:00:00,TLA,126.3258661580584,22,0.19602,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193136.0,166438,"Frisco Tie Out Cable, 20-ft",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,200,5,0.0066785,2025-11-01 00:00:00,TLA,195.7218151080016,40,0.26714000000000004,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193147.0,166446,"Frisco Easy Grip Stake with Tie Out Cable, Large, 15-ft",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,204,6,0.016038,2025-11-01 00:00:00,TLA,107.09846447813698,18,0.288684,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193067.0,166380,"Frisco Tie Out Cable, Small, 15-ft",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,200,10,0.003935875,2025-11-01 00:00:00,TLA,104.452537396951,11,0.043294625,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193088.0,166389,"Frisco Tie Out Cable, Medium, 20-ft",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,200,8,0.004698,2025-11-01 00:00:00,TLA,105.07726881129689,14,0.065772,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193147.0,166447,"Frisco Easy Grip Stake with Tie Out Cable, Large, 30-ft",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,204,6,0.0191565,2025-11-01 00:00:00,TLA,450.1754639488495,76,1.455894,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193157.0,166458,"Frisco Dome Stake, 24-in",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,200,4,0.02578125,2025-11-01 00:00:00,TLA,95.83616487401608,24,0.6187499999999999,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193157.0,166457,"Frisco Dome Stake, 20-in",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,200,4,0.01725,2025-11-01 00:00:00,TLA,106.47700989045728,27,0.46575000000000005,1
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193088.0,166390,"Frisco Tie Out Cable, Medium, 30-ft",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,204,6,0.005301,2025-11-01 00:00:00,TLA,214.35544037282045,36,0.190836,1
Waste Management,Poop Scoopers,Dog,Waste Management,Poop Scoopers,193036.0,166334,"Frisco Rake & Spade Set with Dustpan, Small",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,102,6,0.034621375,2025-11-01 00:00:00,TLA,114.48627988955155,20,0.6924275000000001,1
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,862718.0,862726,"Frisco Indoor Dog Grass Potty Replacement Pad, 19 x 19-in",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,108,12,0.056889,2025-11-01 00:00:00,TLA,57.23983023509948,5,0.284445,1
Bowls & Feeders,Bowls & Diners,Dog,Bowls & Feeders,Bowls & Diners,201909.0,175221,"Frisco Stainless Steel Bowl, Medium: 4 cup, 2 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,1504,16,0.037125,2025-11-01 00:00:00,TLA,1475.3928792816084,93,3.452625,1
Beauty & Grooming,Brushes & Combs,Dog,Grooming,Brushes & Combs,233445.0,206845,"Frisco Grooming Glove, Right Hand",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,500,100,0.05075,2025-11-01 00:00:00,TLA,565.4527779792998,6,0.3045,1
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,117279.0,191969,"Frisco Large Premium Dog Training & Potty Pads, 22 x 23-in, Scented, 150 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.03555,2025-11-01 00:00:00,TLA,363.9498484084308,364,12.940199999999999,1
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,117273.0,191971,"Frisco X-Large Premium Dog Training & Potty Pads, 28 x 34-in, Scented, 40 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.026881875,2025-11-01 00:00:00,TLA,993.1476390117368,604,16.236652499999998,1
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,117273.0,191971,"Frisco X-Large Premium Dog Training & Potty Pads, 28 x 34-in, Scented, 40 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.026881875,2025-11-01 00:00:00,TLA,993.1476390117368,390,10.48393125,2
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,253966.0,227451,"Frisco X-Large Ultra Premium Non-Skid Dog Training & Potty Pads, 28 x 34-in, Unscented, 40 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.0329,2025-11-01 00:00:00,TLA,114.00737236011676,115,3.7834999999999996,2
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,253963.0,227447,"Frisco Large Ultra Premium Non-Skid Dog Training & Potty Pads, 22 x 23-in, Unscented, 50 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,252,4,0.0621621,2025-11-01 00:00:00,TLA,104.61259401227079,27,1.6783766999999998,2
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,253969.0,227454,"Frisco Giant Ultra Premium Non-Skid Dog Training & Potty Pads, 27.5 x 44-in, Unscented, 50 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.04491125,2025-11-01 00:00:00,TLA,307.7778574315701,308,13.832665,2
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,253963.0,227448,"Frisco Large Ultra Premium Non-Skid Dog Training & Potty Pads, 22 x 23-in, Unscented, 150 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.046215,2025-11-01 00:00:00,TLA,110.7897863541346,111,5.129865,2
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,253966.0,227450,"Frisco X-Large Ultra Premium Non-Skid Dog Training & Potty Pads, 28 x 34-in, Unscented, 21 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,252,4,0.07425,2025-11-01 00:00:00,TLA,111.75932697771813,28,2.0789999999999997,2
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,253963.0,309795,"Frisco Large Ultra Premium Non-Skid Dog Training & Potty Pads, 22 x 23-in, Unscented, 300 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.09717,2025-11-01 00:00:00,TLA,104.41268225331821,105,10.202850000000002,2
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,253969.0,309839,"Frisco Giant Ultra Premium Non-Skid Dog Training & Potty Pads, 27.5 x 44-in, Scented, 50 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.04491125,2025-11-01 00:00:00,TLA,126.78614438075672,127,5.70372875,2
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,253966.0,309836,"Frisco X-Large Ultra Premium Non-Skid Dog Training & Potty Pads, 28 x 34-in, Scented, 40 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,1,0.0329,2025-11-01 00:00:00,TLA,96.78483984821379,97,3.1913,2
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,862694.0,862702,"Frisco Indoor Dog Grass Potty Pad with Tray, 20 x 20-in",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,102,6,0.07728075,2025-11-01 00:00:00,TLA,65.29704619355516,11,0.85008825,2
Waste Management,Potty Pads & Diapers,Dog,Waste Management,Potty Pads & Diapers,862718.0,862734,"Frisco Indoor Dog Grass Potty Replacement Pad, 19 x 29-in",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,108,12,0.081675,2025-11-01 00:00:00,TLA,53.0942585230412,5,0.408375,2
"Leashes, Collars & Harnesses",Leashes,Dog,Leashes & Collars,Tie Outs,193136.0,984598,"Frisco Tie Out Cable, 40-ft",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,200,4,0.01204125,2025-11-01 00:00:00,TLA,276.4923145248428,70,0.8428875,2
Containment & Gear,Containment,Dog,"Beds, Crates & Gear",Gates,1214806.0,1214830,"Frisco Cat Safety Gate, Bright White",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,300,1,0.0573408,2025-11-01 00:00:00,TLA,354.7229514024329,136,7.798348799999999,2
Containment & Gear,Containment,Dog,"Beds, Crates & Gear",Gates,1214806.0,1214830,"Frisco Cat Safety Gate, Bright White",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,300,1,0.0573408,2025-11-01 00:00:00,TLA,354.7229514024329,219,12.5576352,3
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,112076,"Frisco Steel-Framed Elevated Dog Bed, Gray, Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,5,0.0636771,2025-11-01 00:00:00,TNY,251.67961912717234,51,3.2475321,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126783.0,112081,"Frisco Replacement Cover for Steel-Framed Elevated Dog Bed, Terracotta, L:  43.7-in L  x  32.4-in W, 1 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,264,24,0.04941,2025-11-01 00:00:00,TNY,177.01764778122185,8,0.39528,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,99229,"Frisco Steel-Framed Elevated Dog Bed, Brown, Medium",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,252,6,0.05881245,2025-11-01 00:00:00,TNY,242.5556617493548,41,2.41131045,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,112072,"Frisco Steel-Framed Elevated Dog Bed, Green, Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,5,0.0636771,2025-11-01 00:00:00,TNY,97.46618667156984,20,1.273542,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,336123.0,309822,"Frisco Dog Poop Bag Solid Assortment in Teal Blue, Violet, Gray, & Coral, 270 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,504,24,0.0406848,2025-11-01 00:00:00,TNY,461.1876466631569,20,0.813696,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,162702.0,135730,"Frisco Refill Dog Poop Bags, Unscented, 900 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,500,10,0.05194,2025-11-01 00:00:00,TNY,377.73329263655177,38,1.97372,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,99228,"Frisco Steel-Framed Elevated Dog Bed, Brown, Small",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,252,6,0.04983345,2025-11-01 00:00:00,TNY,108.85093629320666,19,0.9468355500000001,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,162702.0,135729,"Frisco Refill Dog Poop Bags, Scented, 900 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,500,10,0.05194,2025-11-01 00:00:00,TNY,359.7704835507461,36,1.86984,1
Waste Management,Poop Scoopers,Dog,Waste Management,Poop Scoopers,253996.0,227481,"Frisco Spring Action Foldable Scooper, X-Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,102,6,0.116112,2025-11-01 00:00:00,TNY,108.23490510891031,19,2.206128,1
Waste Management,Poop Bags,Dog,Waste Management,Poop Bags,162702.0,135716,"Frisco Refill Dog Poop Bags, Unscented, 120 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,528,48,0.03492675,2025-11-01 00:00:00,TNY,278.14752166271944,6,0.20956049999999998,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126783.0,99232,"Frisco Replacement Cover for Steel-Framed Elevated Dog Bed, Brown, L:  43.7-in L  x  32.4-in W, 1 count",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,264,24,0.04941,2025-11-01 00:00:00,TNY,111.10564034978906,5,0.24705000000000002,1
Beds & Furniture,Beds,Dog,"Beds, Crates & Gear",Beds,126779.0,112068,"Frisco Steel-Framed Elevated Dog Bed, Terracotta, Large",3722,JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,KNGO1,250,5,0.0636771,2025-11-01 00:00:00,TNY,47.835723371037965,10,0.636771,1
