parent_product_part_number,product_part_number,product_name,vendor_Code,vendor_name,vendor_purchaser_code,MOQ,MCP,case_pk_CBM,planned_demand,vendor_earliest_ETD,MC1,MC2,BRAND,SKU,PUBBED,OH,T90_DAILY_AVG,F90_DAILY_AVG,AVG_LT,ost_ord,Next_Delivery,T90_DOS_OH,F90_DOS_OH,F90_DOS_OO,T90_BELOW,F90_BELOW,baseConsumption,bufferConsumption,baseDemand,bufferDemand,excess_demand
155161.0,163749,"Frisco 33-in Heavy Duty Sisal Cat Scratching Post, Gray",B3755,"HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.(Cambodia)",JADESCHACK,100.0,1,0.0409605,3000.0,2026-01-01 00:00:00,Hard Goods,Beds & Furniture,Frisco,163749,True,4978.0,90.23,132.1,137.0,26979.0,2025-12-01,55.17,37.68,204.23,True,True,21796.5,25495.3,100.0,0.0,3000.0
240961.0,214391,"Frisco 65-in XXL Heavy Duty Cat Tree, Cream",B3755,"HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.(Cambodia)",JADESCHACK,100.0,1,0.122923125,150.0,2026-01-01 00:00:00,Hard Goods,Beds & Furniture,Frisco,214391,True,30.0,6.66,9.45,137.0,1429.0,2025-11-25,4.5,3.17,151.22,True,True,1559.2499999999998,1823.85,101.0,364.8499999999999,0.0
186593.0,159865,"Frisco Stainless Steel Bowl, Small: 1 cup",P000579,"GO FETCH, LLC",MWILSON,200.0,144,0.011872427868,11310.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,159865,True,2356.0,8.87,29.91,165.0,0.0,,265.61,78.77,0.0,False,True,5772.63,6610.11,3456.0,4254.11,6912.0
231074.0,204461,"Frisco Saucer Cat Bowl, Red, 1 cup, 1 count",P000579,"GO FETCH, LLC",MWILSON,216.0,24,0.008130032127,2464.0,2026-01-01 00:00:00,,,,,,0.0,,,129.73958333333334,0.0,,,,,,,0.0,2464.0,2472.0,2464.0,0.0
907006.0,907014,Frisco Slow Feeder Insert,3755,"HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.",JADESCHACK,800.0,50,0.027608,800.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,907014,True,3468.0,19.73,24.31,127.0,3550.0,2025-12-16,175.77,142.66,146.03,False,False,3768.0499999999997,4448.73,800.0,0.0,800.0
282530.0,256074,"Frisco Bones Non-skid Ceramic Dog & Cat Bowl, Medium: 4 cup, 1 count",P19684,BENCHMARK HOME PRODUCTS(H.K.). LIMITED,MWILSON,600.0,8,0.0787422894781757,664.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,256074,True,751.0,9.87,14.93,142.0,2648.0,2026-01-02,76.09,50.3,177.36,True,True,2538.1,2956.14,600.0,0.0,664.0
1475182.0,1475190,"Frisco Double Insulated Non-skid Stainless Steel Dog Bowl With Lid, Black, Medium: 4 cup",P18545,"SUPER DESIGN MANUFACTURE CO ., LTD ZHUHAI",MWILSON,612.0,18,0.051516,612.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,1475190,True,130.0,0.64,0.35,122.0,0.0,,203.13,371.43,0.0,False,False,52.5,62.3,612.0,0.0,612.0
1475182.0,1475206,"Frisco Double Insulated Non-skid Stainless Steel Dog Bowl With Lid, Blue, Medium: 4 cup",P18545,"SUPER DESIGN MANUFACTURE CO ., LTD ZHUHAI",MWILSON,612.0,18,0.051516,612.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,1475206,True,59.0,0.91,0.76,122.0,0.0,,64.84,77.63,0.0,True,True,114.0,135.28,612.0,76.28,522.0
282530.0,256073,"Frisco Bones Non-skid Ceramic Dog & Cat Bowl, Small: 2 cup, 1 count",P19684,BENCHMARK HOME PRODUCTS(H.K.). LIMITED,MWILSON,600.0,12,0.0749735485171194,600.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,256073,True,1578.0,9.82,13.48,142.0,2544.0,2026-01-02,160.69,117.06,188.72,False,True,2291.6,2669.04,600.0,0.0,600.0
296604.0,270188,"Frisco Modern Gold Rim Ceramic Bowl, Deep Sea Blue, Large: 8 cup",P19684,BENCHMARK HOME PRODUCTS(H.K.). LIMITED,MWILSON,600.0,6,0.0740922,600.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,270188,True,1331.0,6.99,10.07,142.0,1278.0,2026-02-06,190.41,132.17,126.91,False,True,1711.9,1993.8600000000001,600.0,0.0,600.0
186593.0,159867,"Frisco Stainless Steel Bowl, 7 cup",P000579,"GO FETCH, LLC",MWILSON,216.0,72,0.014600874024,589.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,159867,True,242.0,21.81,23.67,165.0,2880.0,2026-01-10,11.1,10.22,121.67,True,True,4568.31,5231.070000000001,648.0,2109.0700000000006,0.0
303976.0,277571,"Frisco Dark Wooden Triple Elevated Stainless Steel Dog & Cat Bowl, Dark Wooden, Medium: 3 cup",P000579,"GO FETCH, LLC",MWILSON,152.0,4,0.099698897376,524.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,277571,True,84.0,3.19,5.14,165.0,0.0,,26.33,16.34,0.0,True,True,992.02,1135.9399999999998,524.0,1051.9399999999998,0.0
242586.0,216029,"Frisco Slanted Stainless Steel Bowl, Black, 1 cup, 1 count",P18545,"SUPER DESIGN MANUFACTURE CO ., LTD ZHUHAI",MWILSON,504.0,12,0.0520657199999999,504.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,216029,True,1156.0,3.51,3.78,122.0,0.0,,329.34,305.82,0.0,False,False,567.0,672.8399999999999,504.0,0.0,504.0
279530.0,253066,"Frisco Melamine Slow Feed Dog & Cat Bowl with Gold Trim, Cream, X-Small: 0.5 cup",P18545,"SUPER DESIGN MANUFACTURE CO ., LTD ZHUHAI",MWILSON,504.0,24,0.037376,504.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,253066,True,1010.0,3.46,4.29,122.0,0.0,,291.91,235.43,0.0,False,False,643.5,763.62,504.0,0.0,504.0
242577.0,216020,"Frisco Stainless Steel Bowl with Elevated Stand, Black, Medium: 3 cup, 1 count",P18545,"SUPER DESIGN MANUFACTURE CO ., LTD ZHUHAI",MWILSON,500.0,4,0.0599488,500.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,216020,True,1427.0,6.61,8.89,122.0,800.0,2026-01-16,215.89,160.52,89.99,False,False,1333.5,1582.42,500.0,0.0,500.0
258588.0,232081,"Frisco Double-Sided Ceramic Elevated Cat Bowl, Small, 1 count",P18545,"SUPER DESIGN MANUFACTURE CO ., LTD ZHUHAI",MWILSON,500.0,4,0.037843624,500.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,232081,True,4861.0,16.61,21.21,122.0,820.0,2025-12-10,292.66,229.18,38.66,False,False,3181.5,3775.38,500.0,0.0,500.0
303972.0,277562,"Frisco Curved Triple Feeder Stainless Steel Dog & Cat Bowl, Small: 1 cup",P000579,"GO FETCH, LLC",MWILSON,150.0,6,0.03736250592,168.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,277562,True,679.0,1.81,2.44,165.0,0.0,,375.14,278.28,0.0,False,False,470.92,539.24,150.0,0.0,168.0
303972.0,277563,"Frisco Curved Triple Feeder Stainless Steel Dog & Cat Bowl, Medium: 3 cup",P000579,"GO FETCH, LLC",MWILSON,150.0,6,0.128310711119999,150.0,2026-01-01 00:00:00,Hard Goods,Bowls & Feeders,Frisco,277563,True,525.0,1.84,3.24,165.0,0.0,,285.33,162.04,0.0,False,True,625.32,716.0400000000001,150.0,191.04000000000008,0.0
170834.0,143967,"Frisco Water Resistant Hammock Car Seat Cover, Regular, Grey",P000544,SHANGHAI SENFUL CO LTD,JADESCHACK,300.0,12,0.06786,300.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,143967,True,228.0,0.62,0.87,127.0,300.0,2026-02-06,367.74,262.07,344.83,False,False,134.85,159.21,300.0,0.0,300.0
170836.0,344336,"Frisco Quilted Water Resistant Hammock Car Seat Cover, Gray, X-Large",P000544,SHANGHAI SENFUL CO LTD,JADESCHACK,300.0,4,0.093398,300.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,344336,True,175.0,0.70,0.96,127.0,300.0,2026-02-06,250.0,182.29,312.5,False,False,148.79999999999998,175.68,300.0,0.0,300.0
1783966.0,1783974,Frisco Sheep Cuddler Dog & Cat Bed,B3755,"HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.(Cambodia)",JADESCHACK,250.0,6,0.22059,725.0,2026-01-01 00:00:00,Hard Goods,Beds & Furniture,Frisco,1783974,True,444.0,0.99,10.82,137.0,1032.0,2026-02-18,448.48,41.04,95.38,False,True,1785.3,2088.26,312.0,612.2600000000002,108.0
333315.0,306999,"Frisco Collapsible Cat Cage, Litter Box, & Mat, Animal Sketch",3755,"HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.",JADESCHACK,504.0,6,0.065348,504.0,2026-01-01 00:00:00,Hard Goods,Containment & Gear,Frisco,306999,True,492.0,1.72,1.54,127.0,504.0,2026-02-16,286.05,319.48,327.27,False,False,238.70000000000002,281.82,504.0,0.0,504.0
